,kic,Type,dSct,gdor
1412,7831302,DSCT/ROT,1.0,
1413,7834612,DSCT,1.0,
1414,7834979,GDORA,,
1415,7836868,GDORM,1.0,
1416,7838383,GDORA,1.0,
1417,7838889,DSCT,1.0,
1418,7838908,DSCT,1.0,
1419,7839003,GDORM,,
1420,7840642,GDORS,,1.0
1421,7841434,DSCT/ROT,1.0,
1422,7842286,DSCT,1.0,
1423,7842328,DSCT/ROT,1.0,
1424,7842621,DSCT,1.0,
1425,7848288,DSCT/ROT,,
1426,7848303,DSCT,1.0,
1427,7848324,GDORM,,
1428,7878789,DSCT/ROT,1.0,
1429,7881722,DSCT/HRTB,,
1430,7881851,DSCT,1.0,
1431,7889855,GDORS,,
1432,7890222,DSCT,1.0,
1433,7890526,GDORM,2.0,
1434,7899980,DSCT/EB,1.0,
1435,7900367,DSCT,1.0,
1436,7901718,DSCT,1.0,
1437,7902035,DSCT,1.0,
1438,7902286,DSCT,,1.0
1439,7902286,DSCT,,1.0
1440,7908633,DSCT,1.0,
1441,7909392,DSCT,1.0,
1442,7914906,DSCT/HRTB,,
1443,7915386,DSCT,1.0,
1444,7915458,DSCT,1.0,
1445,7915515,DSCT/EB,1.0,
1446,7917014,DSCT,1.0,
1447,7917485,DSCT,1.0,
1448,7918653,DSCT/ROT,,
1449,7918688,DSCT/ROT,1.0,
1450,7918737,DSCT,1.0,
1451,7937475,GDORA,,
1452,7938179,DSCT,1.0,
1453,7939065,GDORS,1.0,1.0
1454,7953880,DSCT,1.0,
1455,7955898,DSCT,1.0,
1456,7956547,GDORM,2.0,1.0
1457,7959867,DSCT,1.0,
1458,7959886,DSCT/ROT,1.0,
1459,7967293,DSCT,1.0,
1460,7973199,DSCT,1.0,
