,kic
1497,10744042
1498,10749793
1499,10753210
1500,10753246
1501,10775968
1502,10777903
1503,10788451
1504,10790706
1505,10801714
1506,10802820
1507,10811753
1508,10813970
1509,10814711
1510,10814863
1511,10815466
1512,10817600
1513,10853783
1514,10855535
1515,10881855
1516,10918393
1517,10920447
1518,10921894
1519,10931805
1520,10975247
1521,10977859
1522,10978178
1523,10988009
1524,10989032
1525,10990452
1526,10990961
1527,11013201
1528,11021188
1529,11027729
1530,11027806
1531,11036440
1532,11044372
1533,11044384
1534,11044547
1535,11045341
1536,11081490
1537,11090405
1538,11093203
1539,11100331
1540,11100522
1541,11100532
1542,11125764
1543,11127190
1544,11127641
1545,11133190
1546,11145123
1547,11146648
1548,11152054
1549,11152422
1550,11152625
1551,11153259
1552,11175316
1553,11179734
1554,11180361
1555,11182765
1556,11183539
1557,11193046
1558,11197934
1559,11199228
1560,11206038
1561,11232111
1562,11260307
1563,11285767
1564,11295729
1565,11302627
1566,11309335
1567,11340713
1568,11355938
1569,11357796
1570,11361739
1571,11395392
1572,11402951
1573,11410915
1574,11415556
1575,11445913
1576,11457198
1577,11461134
1578,11463950
1579,11464245
1580,11468621
1581,11468863
1582,11469049
1583,11495305
1584,11497012
1585,11506508
1586,11508397
1587,11509728
1588,11513155
1589,11558455
1590,11559263
1591,11572046
1592,11572666
1593,11602449
1594,11606351
1595,11607193
1596,11617030
1597,11618998
1598,11619202
1599,11619868
1600,11620101
1601,11622328
1602,11624191
1603,11624521
1604,11649497
1605,11654267
1606,11656492
1607,11658996
1608,11661993
1609,11665531
1610,11666503
1611,11671429
1612,11700370
1613,11700599
1614,11700604
1615,11708238
1616,11710462
1617,11714150
1618,11717240
1619,11718839
1620,11723564
1621,11725829
1622,11760312
1623,11769929
1624,11770258
1625,11771670
1626,11772971
1627,11773909
1628,11775354
1629,11809179
1630,11815158
1631,11821140
1632,11822666
1633,11822789
1634,11823661
1635,11823683
1636,11824964
1637,11825198
1638,11825204
1639,11826440
1640,11858293
1641,11870315
1642,11871236
1643,11872512
1644,11872848
1645,11874676
1646,11909497
1647,11910256
1648,11910642
1649,11919968
1650,11924025
1651,11961072
1652,11967758
1653,11972526
1654,11973705
1655,12013034
1656,12020590
1657,12055866
1658,12067780
1659,12068180
1660,12069252
1661,12072666
1662,12116239
1663,12120077
1664,12122075
1665,12202245
1666,12216817
1667,12257449
1668,12353648
1669,12365420
1670,12400984
1671,12470317
1672,12470709
1673,12508348
1674,12602250
1675,12647070
1676,12688835
1677,12736056
1678,12784394
1679,12885086
1680,1026255
1681,1430741
1682,1432149
1683,1573149
1684,1870849
1685,2300165
1686,2438249
1687,2449383
1688,2572386
1689,2581626
1690,2583153
1691,2715483
1692,2851278
1693,2855026
1694,2975832
1695,2988783
1696,2993589
1697,3096317
1698,3110496
1699,3117511
1700,3216518
